Analysis Id,Sample Id,Sample#,Type,Fixed?,Latitude,Longitude,Distance(miles),Bearing,Direction,Collection Date,Source,Description,Weight,Weight Unit,Depth,Surface Area(cm2),Shape,Uncertainty%,MDA,Method Code,Moisture%,Nuclide,Result,Unit
197557,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,2.90581E-06,4.81572E-06,Gamma Spectroscopy,,I-132,-1.97655E-06,uCi/g
197559,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,2.90581E-06,4.81572E-06,Gamma Spectroscopy,,Te-132,-1.97655E-06,uCi/g
197561,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,5.8175E-06,9.89417E-06,Gamma Spectroscopy,,Mo-99,-1.82105E-06,uCi/g
197563,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,5.13977E-08,5.00457E-08,GP Counting,,Sr-90,9.22655E-09,uCi/g
197565,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,5.13977E-08,5.00457E-08,GP Counting,,Sr-89,3.39843E-08,uCi/g
197567,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,3.21506E-08,5.00457E-08,GP Counting,,Sr-Total,6.9108E-08,uCi/g
197569,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,9.34553E-08,1.40431E-07,Gamma Spectroscopy,,Ba-140,8.81185E-08,uCi/g
197571,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,8.2927E-07,1.23322E-06,Gamma Spectroscopy,,Te-129m,1.60125E-07,uCi/g
197573,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,2.48193E-07,4.24615E-07,Gamma Spectroscopy,,Ce-144,1.668E-07,uCi/g
197575,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,1.31364E-07,1.79403E-07,Gamma Spectroscopy,,Cs-136,4.80183E-07,uCi/g
197577,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,9.28423E-07,4.3458E-07,Gamma Spectroscopy,,I-131,1.47897E-05,uCi/g
197579,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,1.05032E-06,6.785E-08,Gamma Spectroscopy,,Cs-137,1.71631E-05,uCi/g
197581,8995,SCF-08754,Soil,No,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/11 12:50 PM,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box North - Untilled Rice Patty Field - Location #1. ;,250,grams,2,100,,5.31001E-07,8.45856E-08,Gamma Spectroscopy,,Cs-134,1.74632E-05,uCi/g
197643,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,2.63145E-06,3.82141E-06,Gamma Spectroscopy,,Te-129m,-1.2674E-06,uCi/g
197645,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,2.50446E-05,0,Gamma Spectroscopy,,I-132,9.91104E-11,uCi/g
197647,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,2.50446E-05,0,Gamma Spectroscopy,,Te-132,9.91104E-11,uCi/g
197649,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,1.712E-07,0,Gamma Spectroscopy,,Mo-99,1.37633E-10,uCi/g
197651,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,2.83901E-08,3.28E-08,GP Counting,,Sr-90,4.69027E-08,uCi/g
197653,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,2.83901E-08,3.28E-08,GP Counting,,Sr-90,4.69027E-08,uCi/g
197655,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,5.95079E-07,1.01493E-06,Gamma Spectroscopy,,Ce-144,4.89229E-08,uCi/g
197657,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,3.86339E-08,3.28171E-08,GP Counting,,Sr-Total,4.05685E-07,uCi/g
197659,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,2.83901E-08,3.28E-08,GP Counting,,Sr-89,5.38574E-07,uCi/g
197661,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,2.83901E-08,3.28E-08,GP Counting,,Sr-89,5.38574E-07,uCi/g
197663,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,3.72476E-07,5.80319E-07,Gamma Spectroscopy,,Ba-140,7.81797E-07,uCi/g
197665,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,8.58213E-07,8.81068E-07,Gamma Spectroscopy,,Cs-136,3.82002E-06,uCi/g
197667,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,4.66962E-06,4.06737E-06,Gamma Spectroscopy,,I-131,5.83053E-05,uCi/g
197669,8989,SCF-08757,Soil,No,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/11 1:40 PM,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS North Box Undisturbed Flat area. Location 2. ;,250,grams,2,100,,5.33508E-06,1.56688E-07,Gamma Spectroscopy,,Cs-137,8.8105E-05,uCi/g
